0,0.00058
100,0.34273
200,0.69153
300,0.98823
400,1.30214
500,1.64542
600,1.92855
700,2.23247
800,2.55082
900,2.85867
1000,3.14462
1100,3.4172
1200,3.73148
1300,3.99043
1400,4.30444
1500,4.57179
1600,4.86154
1700,5.14282
1800,5.38667
1900,5.68472
2000,5.95012
2100,6.18424
2200,6.49469
2300,6.80194
2400,7.04479
2500,7.4148
2600,7.85519
2700,7.8285
2800,8.28876
2900,8.59187
3000,8.8433
3100,9.23219
3200,9.19345
3300,9.19642
3400,9.46652
3500,9.69013
3600,10.0413
3700,10.2397
3800,10.6884
3900,10.8799
4000,10.8716
4100,10.9586
4200,11.1335
4300,11.43
4400,11.66
4500,11.8417
4600,12.0608
4700,12.5147
4800,12.7274
4900,12.7365
5000,12.9053
5100,13.1405
5200,13.4187
5300,13.5661
5400,13.7508
5500,14.3985
5600,14.4037
5700,14.2569
5800,14.4783
5900,14.7317
6000,14.9101
6100,15.1603
6200,15.3214
6300,15.8143
6400,15.6456
6500,15.8512
6600,16.0033
6700,16.2508
6800,16.6609
6900,16.572
7000,16.9772
7100,16.8964
7200,17.0542
7300,17.1901
7400,17.4073
7500,17.6019
7600,18.1251
7700,18.0274
7800,18.4821
7900,18.2422
8000,18.433
8100,18.494
8200,19.1119
8300,18.9644
8400,19.2158
8500,19.3787
8600,19.4776
8700,19.6496
8800,20.2196
8900,20.3191
9000,20.023
9100,20.0775
9200,20.2821
9300,21.0175
9400,20.7869
9500,20.9802
9600,21.103
9700,21.3434
9800,22.0145
9900,21.6448
10000,21.4949
