0,0.00042
100,0.00779
200,0.02428
300,0.05016
400,0.08562
500,0.12907
600,0.18164
700,0.24448
800,0.31563
900,0.40094
1000,0.5064
1100,0.69713
1200,0.93242
1300,1.21398
1400,1.52832
1500,1.87373
1600,2.24462
1700,2.63076
1800,3.06069
1900,3.5012
2000,3.9627
2100,4.43932
2200,4.95745
2300,5.47037
2400,6.05975
2500,6.63706
2600,7.18961
2700,7.82176
2800,8.45431
2900,9.12672
3000,9.82554
3100,10.4787
3200,11.2181
3300,11.9323
3400,12.7264
3500,13.4945
3600,14.2595
3700,15.0916
3800,15.911
3900,16.7599
4000,17.628
4100,18.5078
4200,19.431
4300,20.3051
4400,21.3238
4500,22.1896
4600,23.1545
4700,24.1804
4800,25.1838
4900,26.2215
5000,27.196
5100,28.3386
5200,29.3288
5300,30.3762
5400,31.4378
5500,32.6064
5600,33.6799
5700,34.8366
5800,35.9377
5900,37.0984
6000,38.2386
6100,39.4533
6200,40.51
6300,41.7988
6400,42.9386
6500,44.2083
6600,45.5135
6700,46.7913
6800,48.0525
6900,49.1609
7000,50.4293
7100,51.7718
7200,53.1118
7300,54.5086
7400,55.7441
7500,57.0723
7600,58.4542
7700,59.8482
7800,61.1648
7900,62.4309
8000,63.8226
8100,65.2377
8200,67.1508
8300,68.7641
8400,70.8542
8500,72.8593
8600,74.8708
8700,76.6857
8800,78.6026
8900,80.8525
9000,82.7369
9100,84.8207
9200,87.1544
9300,88.7872
9400,90.9004
9500,92.949
9600,95.0722
9700,96.8751
9800,99.2676
9900,102.687
10000,105.51
