0,0.00046
100,0.40413
200,0.75097
300,1.10203
400,1.46016
500,1.73495
600,2.26602
700,2.47349
800,3.00955
900,3.36245
1000,3.66786
1100,4.12564
1200,4.35185
1300,4.6183
1400,4.92264
1500,5.61693
1600,6.13268
1700,6.20041
1800,6.55664
1900,6.92158
2000,7.12176
2100,7.30224
2200,7.7647
2300,8.1426
2400,8.79937
2500,8.89437
2600,9.24264
2700,9.48915
2800,10.0195
2900,10.3664
3000,10.9082
3100,11.1804
3200,11.7512
3300,11.7177
3400,12.2246
3500,12.3417
3600,12.894
3700,12.8744
3800,13.2533
3900,13.7501
4000,14.0523
4100,14.6162
4200,15.1003
4300,15.267
4400,15.9732
4500,16.029
4600,16.326
4700,16.5037
4800,16.7266
4900,17.1613
5000,17.6536
5100,18.0371
5200,18.5711
5300,18.8386
5400,19.1786
5500,19.4294
5600,20.1378
5700,20.3185
5800,20.9581
5900,21.0428
6000,21.4127
6100,21.9731
6200,22.4853
6300,22.6456
6400,23.1104
6500,23.1941
6600,23.3863
6700,24.2397
6800,24.7573
6900,24.8097
7000,24.9931
7100,25.6211
7200,25.6227
7300,25.7592
7400,26.1764
7500,26.7573
7600,27.7729
7700,27.9347
7800,27.6765
7900,28.6935
8000,29.0137
8100,29.6351
8200,29.1038
8300,29.3093
8400,30.2448
8500,30.3821
8600,30.9175
8700,31.1557
8800,31.8112
8900,31.5187
9000,31.8829
9100,32.5489
9200,33.1105
9300,32.9479
9400,33.695
9500,33.8511
9600,34.7009
9700,34.8574
9800,35.4824
9900,36.0376
10000,37.4034
